,phen,male_count,female_count,combined_count
295,6146,0,4,4
296,6149,0,1,1
297,6162,0,1,1
298,6163,0,2,2
299,6178,0,1,1
300,6179,0,1,1
301,6180,0,4,4
302,6181,0,1,1
303,6189,0,1,1
304,62,2,3,5
305,620,1,1,2
306,6201,0,1,1
307,6202,0,8,8
308,6208,0,1,1
309,6212,0,2,2
310,6213,0,1,1
311,6219,0,1,1
312,6220,0,7,7
313,6225,0,1,1
314,6227,0,8,8
315,6235,0,4,4
316,6238,0,3,3
317,6248,0,1,1
318,6250,0,5,5
319,6252,0,1,1
320,6253,0,3,3
321,6254,0,1,1
322,6256,0,6,6
323,6259,0,1,1
324,6262,0,27,27
325,6264,0,8,8
326,6265,0,1,1
327,6266,0,6,6
328,6267,0,2,2
329,6268,0,3,3
330,6269,0,3,3
331,6271,0,2,2
332,6282,0,1,1
333,6288,0,1,1
334,6289,0,22,22
335,63,1,4,5
336,6319,0,5,5
337,6329,0,4,4
338,6341,0,1,1
339,6349,0,9,9
340,6357,0,1,1
341,6359,0,29,29
342,6371,0,1,1
343,6377,0,1,1
344,6379,0,10,10
345,6391,0,2,2
346,64,3,2,5
347,64.25320000000001,0,1,1
348,64.3,0,1,1
349,6400,0,12,12
350,6409,0,1,1
351,6430,0,1,1
352,6431,0,1,1
353,65,3,1,4
354,66,3,4,7
355,6661,0,1,1
356,6662,0,1,1
357,67,3,2,5
358,68,1,3,4
359,6810,0,2,2
360,6811,1,0,1
361,6820,0,1,1
362,6823,2,0,2
363,6826,1,0,1
364,6851,2,1,3
365,6869,1,0,1
366,69,1,2,3
367,6940,0,1,1
368,6954,0,1,1
369,6961,1,1,2
370,7,474,577,1051
371,70,0,2,2
372,700,0,2,2
373,7014,0,1,1
374,7015,0,1,1
375,7019,0,1,1
376,7029,1,1,2
377,7030,3,3,6
378,7038,1,0,1
379,7058,0,1,1
380,7062,10,8,18
381,7080,0,1,1
382,7089,0,2,2
383,7094,1,0,1
384,7099,4,4,8
385,71,1,0,1
386,71694,1,0,1
387,7173,3,1,4
388,7176,1,0,1
389,7177,2,0,2
390,7178,1,0,1
391,7179,1,0,1
392,71831,1,0,1
393,71946,2,0,2
394,71947,1,0,1
395,72,1,2,3
396,720,1,0,1
397,7221,2,0,2
398,7231,1,0,1
399,7235,1,0,1
400,7242,4,2,6
401,7243,0,1,1
402,7245,1,1,2
403,7249,0,1,1
404,727,0,1,1
405,72704,0,1,1
406,72707,1,0,1
407,72709,0,1,1
408,72726,1,0,1
409,72743,0,2,2
410,72744,1,1,2
411,72747,0,1,1
412,7286,1,0,1
413,72955,0,1,1
414,72957,0,1,1
415,7298,0,1,1
416,72984,1,0,1
417,73,2,0,2
418,7301,1,0,1
419,7309,0,1,1
420,73381,1,0,1
421,7339,0,1,1
422,73399,1,0,1
423,7354,0,2,2
424,7355,0,1,1
425,7359,0,2,2
426,736,0,1,1
427,7380,3,0,3
428,739,0,1,1
429,74,0,2,2
430,741,0,1,1
431,742,1,0,1
432,7443,0,1,1
433,748,0,1,1
434,75,2,3,5
435,750,25,19,44
436,75250,1,0,1
437,756,0,1,1
438,759,1,0,1
439,75922,0,1,1
440,76,2,0,2
441,763,0,1,1
442,77,1,1,2
443,770,0,1,1
444,771,1,0,1
445,775,0,1,1
446,780,0,2,2
447,7807,0,1,1
448,7822,1,1,2
449,7840,6,3,9
450,7847,1,0,1
451,7849,0,1,1
452,7856,2,2,4
453,7860,4,0,4
454,7865,9,1,10
455,7870,0,1,1
456,7871,0,1,1
457,7872,2,0,2
458,788,1,0,1
459,7880,3,0,3
460,7881,1,0,1
461,7882,1,0,1
462,7883,0,4,4
463,7884,3,1,4
464,7889,0,1,1
465,78898,1,0,1
466,7890,7,16,23
467,78909,5,14,19
468,7893,0,1,1
469,79,2,2,4
470,790,1,0,1
471,7939,0,1,1
472,7948,1,0,1
473,795,1,0,1
474,7950,0,2,2
475,796,0,1,1
476,798,1,1,2
477,799,1,0,1
478,7999,4,1,5
479,79993,1,0,1
480,8,445,540,985
481,800,1138,1008,2146
482,8001,0,1,1
483,801,0,1,1
484,8010,0,2,2
485,8020,8,3,11
486,803,1,1,2
487,8030,1,0,1
488,805,0,1,1
489,8050,1,0,1
490,807,2,0,2
491,8070,0,4,4
492,8072,1,1,2
493,8077,0,3,3
494,808,1,0,1
495,8081,0,1,1
496,8090,8,6,14
497,81,0,1,1
498,8130,1,0,1
499,814,0,1,1
500,8140,4,1,5
501,8160,1,0,1
502,818,1,0,1
503,819,0,2,2
504,82,1,1,2
505,820,0,1,1
506,8208,1,0,1
507,8220,1,0,1
508,823,0,1,1
509,8230,2,2,4
510,8232,1,0,1
511,824,1,0,1
512,8240,2,1,3
513,8242,0,1,1
514,8245,0,1,1
515,8248,1,1,2
516,825,2,0,2
517,8250,1,0,1
518,8260,0,1,1
519,827,1,0,1
520,829,1,0,1
521,83,0,1,1
522,831,1,0,1
523,832,0,1,1
524,836,0,1,1
525,8362,1,0,1
526,8363,1,0,1
527,838,1,1,2
528,8380,0,3,3
529,8390,0,1,1
530,84,0,2,2
531,842,1,0,1
532,8421,1,0,1
533,843,0,1,1
534,844,1,1,2
535,8442,1,0,1
536,845,2583,2806,5389
537,8450,0,1,1
538,847,0,2,2
539,8480,0,1,1
540,849,1,1,2
541,85,0,1,1
542,850,171,164,335
543,8500,0,9,9
544,8509,1,0,1
545,851,1,3,4
546,852,2,0,2
547,8520,0,1,1
548,853,1,1,2
