lam,alpha,accuracy,error
0.01,0.0,0.7702017851854986,0.19205729166666666
0.01,0.1,0.7669465713439655,0.19401041666666666
0.01,0.2,0.7597931384576336,0.19661458333333334
0.01,0.30000000000000004,0.7597994839037183,0.19986979166666666
0.01,0.4,0.7565463852108802,0.20703125
0.01,0.5,0.7558949194128346,0.21028645833333334
0.01,0.6000000000000001,0.7513431194212953,0.21028645833333334
0.01,0.7000000000000001,0.7493929523245484,0.21354166666666666
0.01,0.8,0.7493950674732434,0.21549479166666666
0.01,0.9,0.7526545116121663,0.21744791666666666
0.02,0.0,0.7702017851854986,0.19205729166666666
0.02,0.1,0.7708511358348492,0.193359375
0.02,0.2,0.7662972206946149,0.19401041666666666
0.02,0.30000000000000004,0.7630441220017767,0.19661458333333334
0.02,0.4,0.7610939549050298,0.19661458333333334
0.02,0.5,0.760448834553069,0.19791666666666666
0.02,0.6000000000000001,0.7597994839037183,0.19921875
0.02,0.7000000000000001,0.7584965523076271,0.20442708333333334
0.02,0.8,0.7571957358602309,0.20703125
0.02,0.9,0.7552413384660941,0.20963541666666666
0.03,0.0,0.7708532509835442,0.19140625
0.03,0.1,0.7715026016328949,0.19205729166666666
0.03,0.2,0.769548204238758,0.19270833333333334
0.03,0.30000000000000004,0.7662972206946149,0.19401041666666666
0.03,0.4,0.7649964042472186,0.1953125
0.03,0.5,0.7623926562037312,0.19661458333333334
0.03,0.6000000000000001,0.7604424891069842,0.19661458333333334
0.03,0.7000000000000001,0.7611003003511146,0.197265625
0.03,0.8,0.760448834553069,0.19921875
0.03,0.9,0.7597994839037183,0.19921875
0.04,0.0,0.7708532509835442,0.19140625
0.04,0.1,0.7721540674309404,0.19205729166666666
0.04,0.2,0.7708511358348492,0.19270833333333334
0.04,0.30000000000000004,0.769548204238758,0.19270833333333334
0.04,0.4,0.7662972206946149,0.19401041666666666
0.04,0.5,0.7656457548965692,0.1953125
0.04,0.6000000000000001,0.7630441220017767,0.19661458333333334
0.04,0.7000000000000001,0.7623926562037312,0.19661458333333334
0.04,0.8,0.7604424891069842,0.19661458333333334
0.04,0.9,0.7597973687550235,0.197265625
0.05,0.0,0.7708532509835442,0.19140625
0.05,0.1,0.7734569990270316,0.19205729166666666
0.05,0.2,0.7715026016328949,0.19270833333333334
0.05,0.30000000000000004,0.7701996700368037,0.19270833333333334
0.05,0.4,0.7682473877913617,0.19270833333333334
0.05,0.5,0.7662972206946149,0.19401041666666666
0.05,0.6000000000000001,0.7656457548965692,0.19466145833333334
0.05,0.7000000000000001,0.7649964042472186,0.1953125
0.05,0.8,0.7623926562037312,0.19661458333333334
0.05,0.9,0.7617433055543804,0.19661458333333334
0.060000000000000005,0.0,0.7708532509835442,0.19140625
0.060000000000000005,0.1,0.7721561825796354,0.19205729166666666
0.060000000000000005,0.2,0.7721540674309404,0.19205729166666666
0.060000000000000005,0.30000000000000004,0.7708511358348492,0.19270833333333334
0.060000000000000005,0.4,0.7701996700368037,0.19270833333333334
0.060000000000000005,0.5,0.7675980371420111,0.19270833333333334
0.060000000000000005,0.6000000000000001,0.7662972206946149,0.19401041666666666
0.060000000000000005,0.7000000000000001,0.7656457548965692,0.19466145833333334
0.060000000000000005,0.8,0.7656457548965692,0.1953125
0.060000000000000005,0.9,0.7636955877998224,0.19661458333333334
0.06999999999999999,0.0,0.7708532509835442,0.19140625
0.06999999999999999,0.1,0.7715047167815898,0.19205729166666666
0.06999999999999999,0.2,0.7721540674309404,0.19205729166666666
0.06999999999999999,0.30000000000000004,0.7708511358348492,0.19270833333333334
0.06999999999999999,0.4,0.7701996700368037,0.19205729166666666
0.06999999999999999,0.5,0.7701996700368037,0.19270833333333334
0.06999999999999999,0.6000000000000001,0.7675980371420111,0.193359375
0.06999999999999999,0.7000000000000001,0.7662972206946149,0.19401041666666666
0.06999999999999999,0.8,0.7656457548965692,0.19466145833333334
0.06999999999999999,0.9,0.7656457548965692,0.1953125
0.08,0.0,0.7708532509835442,0.19140625
0.08,0.1,0.7708532509835442,0.19205729166666666
0.08,0.2,0.772805533228986,0.19205729166666666
0.08,0.30000000000000004,0.7721540674309404,0.19205729166666666
0.08,0.4,0.7708511358348492,0.19270833333333334
0.08,0.5,0.7701996700368037,0.19270833333333334
0.08,0.6000000000000001,0.769548204238758,0.19270833333333334
0.08,0.7000000000000001,0.7669465713439655,0.193359375
0.08,0.8,0.7662972206946149,0.19401041666666666
0.08,0.9,0.7656457548965692,0.19401041666666666
0.09,0.0,0.7708532509835442,0.19140625
0.09,0.1,0.7708532509835442,0.19205729166666666
0.09,0.2,0.7734569990270316,0.19205729166666666
0.09,0.30000000000000004,0.7721540674309404,0.19205729166666666
0.09,0.4,0.7708511358348492,0.19270833333333334
0.09,0.5,0.7701996700368037,0.19205729166666666
0.09,0.6000000000000001,0.7701996700368037,0.19270833333333334
0.09,0.7000000000000001,0.7688967384407125,0.19270833333333334
0.09,0.8,0.7669465713439655,0.193359375
0.09,0.9,0.7662972206946149,0.19401041666666666
0.09999999999999999,0.0,0.7708532509835442,0.19140625
0.09999999999999999,0.1,0.7708532509835442,0.19205729166666666
0.09999999999999999,0.2,0.7734569990270316,0.19205729166666666
0.09999999999999999,0.30000000000000004,0.7721540674309404,0.19205729166666666
0.09999999999999999,0.4,0.7721540674309404,0.19270833333333334
0.09999999999999999,0.5,0.7708511358348492,0.19270833333333334
0.09999999999999999,0.6000000000000001,0.7701996700368037,0.19205729166666666
0.09999999999999999,0.7000000000000001,0.7701996700368037,0.19270833333333334
0.09999999999999999,0.8,0.7688967384407125,0.19270833333333334
0.09999999999999999,0.9,0.7669465713439655,0.193359375
0.11,0.0,0.7708532509835442,0.19140625
0.11,0.1,0.7708532509835442,0.19205729166666666
0.11,0.2,0.7721561825796354,0.19205729166666666
0.11,0.30000000000000004,0.7721540674309404,0.19205729166666666
0.11,0.4,0.7721540674309404,0.19205729166666666
0.11,0.5,0.7715026016328949,0.19270833333333334
0.11,0.6000000000000001,0.7701996700368037,0.19270833333333334
0.11,0.7000000000000001,0.7701996700368037,0.19270833333333334
0.11,0.8,0.7701996700368037,0.19270833333333334
0.11,0.9,0.7675980371420111,0.19270833333333334
0.12,0.0,0.7708532509835442,0.19140625
0.12,0.1,0.7708532509835442,0.19205729166666666
0.12,0.2,0.7721561825796354,0.19205729166666666
0.12,0.30000000000000004,0.772805533228986,0.19205729166666666
0.12,0.4,0.7721540674309404,0.19205729166666666
0.12,0.5,0.7721540674309404,0.19270833333333334
0.12,0.6000000000000001,0.7708511358348492,0.19270833333333334
0.12,0.7000000000000001,0.7701996700368037,0.19205729166666666
0.12,0.8,0.7701996700368037,0.19270833333333334
0.12,0.9,0.7701996700368037,0.19270833333333334
0.13,0.0,0.7715047167815898,0.19140625
0.13,0.1,0.7708532509835442,0.19205729166666666
0.13,0.2,0.7715047167815898,0.19205729166666666
0.13,0.30000000000000004,0.772805533228986,0.19205729166666666
0.13,0.4,0.7721540674309404,0.19205729166666666
0.13,0.5,0.7721540674309404,0.19205729166666666
0.13,0.6000000000000001,0.7715026016328949,0.19270833333333334
0.13,0.7000000000000001,0.7701996700368037,0.19270833333333334
0.13,0.8,0.7701996700368037,0.19205729166666666
0.13,0.9,0.7701996700368037,0.19270833333333334
0.14,0.0,0.7715047167815898,0.19140625
0.14,0.1,0.7708532509835442,0.19205729166666666
0.14,0.2,0.7715047167815898,0.19205729166666666
0.14,0.30000000000000004,0.7734569990270316,0.19205729166666666
0.14,0.4,0.7721540674309404,0.19205729166666666
0.14,0.5,0.7721540674309404,0.19205729166666666
0.14,0.6000000000000001,0.7721540674309404,0.19270833333333334
0.14,0.7000000000000001,0.7708511358348492,0.19270833333333334
0.14,0.8,0.7701996700368037,0.19205729166666666
0.14,0.9,0.7701996700368037,0.19270833333333334
0.15000000000000002,0.0,0.7715047167815898,0.19140625
0.15000000000000002,0.1,0.7708532509835442,0.19205729166666666
0.15000000000000002,0.2,0.7715047167815898,0.19205729166666666
0.15000000000000002,0.30000000000000004,0.7734569990270316,0.19205729166666666
0.15000000000000002,0.4,0.772805533228986,0.19205729166666666
0.15000000000000002,0.5,0.7721540674309404,0.19205729166666666
0.15000000000000002,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.15000000000000002,0.7000000000000001,0.7708511358348492,0.19270833333333334
0.15000000000000002,0.8,0.7701996700368037,0.19270833333333334
0.15000000000000002,0.9,0.7701996700368037,0.19205729166666666
0.16,0.0,0.7715047167815898,0.19140625
0.16,0.1,0.7708532509835442,0.19205729166666666
0.16,0.2,0.7708532509835442,0.19205729166666666
0.16,0.30000000000000004,0.772807648377681,0.19205729166666666
0.16,0.4,0.772805533228986,0.19205729166666666
0.16,0.5,0.7721540674309404,0.19205729166666666
0.16,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.16,0.7000000000000001,0.7721540674309404,0.19270833333333334
0.16,0.8,0.7708511358348492,0.19270833333333334
0.16,0.9,0.7701996700368037,0.19205729166666666
0.17,0.0,0.7715047167815898,0.19140625
0.17,0.1,0.7708532509835442,0.19205729166666666
0.17,0.2,0.7708532509835442,0.19205729166666666
0.17,0.30000000000000004,0.7721561825796354,0.19205729166666666
0.17,0.4,0.772805533228986,0.19205729166666666
0.17,0.5,0.7721540674309404,0.19205729166666666
0.17,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.17,0.7000000000000001,0.7721540674309404,0.19270833333333334
0.17,0.8,0.7715026016328949,0.19270833333333334
0.17,0.9,0.7708511358348492,0.19270833333333334
0.18000000000000002,0.0,0.7715047167815898,0.19140625
0.18000000000000002,0.1,0.7708532509835442,0.19205729166666666
0.18000000000000002,0.2,0.7708532509835442,0.19205729166666666
0.18000000000000002,0.30000000000000004,0.7721561825796354,0.19205729166666666
0.18000000000000002,0.4,0.772805533228986,0.19205729166666666
0.18000000000000002,0.5,0.7721540674309404,0.19205729166666666
0.18000000000000002,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.18000000000000002,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.18000000000000002,0.8,0.7715026016328949,0.19270833333333334
0.18000000000000002,0.9,0.7715026016328949,0.19270833333333334
0.19,0.0,0.7715047167815898,0.19140625
0.19,0.1,0.7708532509835442,0.19205729166666666
0.19,0.2,0.7708532509835442,0.19205729166666666
0.19,0.30000000000000004,0.7715047167815898,0.19205729166666666
0.19,0.4,0.7734569990270316,0.19205729166666666
0.19,0.5,0.772805533228986,0.19205729166666666
0.19,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.19,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.19,0.8,0.7721540674309404,0.19270833333333334
0.19,0.9,0.7715026016328949,0.19270833333333334
0.2,0.0,0.7715047167815898,0.19140625
0.2,0.1,0.7708532509835442,0.19205729166666666
0.2,0.2,0.7708532509835442,0.19205729166666666
0.2,0.30000000000000004,0.7715047167815898,0.19205729166666666
0.2,0.4,0.7734569990270316,0.19205729166666666
0.2,0.5,0.772805533228986,0.19205729166666666
0.2,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.2,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.2,0.8,0.7721540674309404,0.19205729166666666
0.2,0.9,0.7715026016328949,0.19270833333333334
0.21000000000000002,0.0,0.7715047167815898,0.19140625
0.21000000000000002,0.1,0.7708532509835442,0.19205729166666666
