symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TSHR	0.8680707683573046	0.4237836233378506	0.9887926648804534	0.9198961955294684	0.9066612367713315	0.607930797611621	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	0.31336099212770013	No data	0.7741278912697377	1	1	0	0	1	0	0.3390050000000002	0	0.4090435507397374	-0.8924539564932029	0	-1	No data	0	1	0.5
SLC26A4	0.8500853928887215	No data	No data	0.9652682518179766	0.8274613634158176	No data	0.607930797611621	0.9823861300927456	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24836009099339837	No data	0.6631117333700699	No data	1	0	0	1	0	0.3782049999999998	No data	0.3210043759116483	-0.35876885007163156	0	-1	No data	0	1	0.5
TG	0.7976070649088173	0.7388361536887018	0.9224194100780321	0.9316607455202122	0.607930797611621	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5227086258846235	No data	0.5756654953461485	No data	0	1	0	0	0	0	No data	-0.01823296520108353	-0.7128188379641603	0	No data	No data	0	1	0
IGSF1	0.7609957434210354	No data	No data	0.8946373487814266	0.8897742701710087	0.607930797611621	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23982391225880234	No data	0.6947371023226365	No data	0	0	0	0	0	0.30763499999999977	No data	-0.8716399249843717	-0.18446368749529568	0	No data	No data	0	1	0
TPO	0.7581588627014982	0.7927347843006283	No data	0.9343908295483709	0.607930797611621	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5551695622919252	No data	0.7389271960353535	1	0	0	1	1	0	0	No data	0.24202958949781195	-0.8124634295225297	0	-1	No data	0	1	0
THRA	0.7495016430700869	No data	No data	0.886455567286276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9979263952704901	No data	No data	No data	No data	No data	No data	0.13773797995443998	No data	0.5225075560922641	1	0	0	1	1	1	0.6341450000000002	No data	-0.5549072723484059	-0.9684081469932437	0	-1	No data	-0.24390250000000008	1	-1
TSHB	0.7430572418608175	No data	No data	0.8742134530946626	0.865457038266544	0.607930797611621	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3301657923790198	No data	No data	No data	0	1	0	0	0	0.23913000000000012	No data	0.8294436340904354	0	0	No data	No data	0	1	1
DUOX2	0.7411569242854378	No data	No data	0.9372132644476726	0.8274613634158176	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23638513949026269	No data	0.4503447429243802	No data	1	0	0	0	0	0.23772499999999966	No data	0.41967076474265474	-0.9154572664277713	0	No data	No data	-0.44928999999999986	0.5	0
KAT6B	0.723901265903102	No data	No data	0.93176634097376	No data	0.607930797611621	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18375408917919722	No data	No data	No data	0	0	1	1	0	0.49107500000000004	1	-0.9596790998124609	-0.795237385437236	0	No data	No data	0	-1	-1
SECISBP2	0.7193243698752189	No data	No data	0.8633272726376451	0.7599134970145264	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0	No data	0.1486768076682643	-0.8134514639156876	0	No data	No data	0	-1	-1
