symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ATP4A	0.6087814546809753	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9983596122979999	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	1	0	0	1	0	0.8502400000000001	No data	-0.2001458637216087	-0.29239804983791945	0	No data	No data	-0.10145000000000018	1	0.5
HRH2	0.5868958198095057	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9581655349658962	No data	No data	No data	No data	No data	No data	0.14467047601467584	No data	No data	1	1	0	1	1	0	0.13507000000000033	1	-0.1242967284851011	-0.25816023832992224	0	-1	No data	0	0.5	0
ATP4B	0.5807503075273608	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.954074296115088	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	1	0	0	0	0	0.1752600000000001	No data	0.17451552406751403	-0.05993566918522014	0	No data	No data	0	1	0.5
DRD2	0.5575019139526591	0.13611532828672968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8824791005996693	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
HTR4	0.5358535534499599	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8788389254013854	No data	No data	No data	No data	No data	No data	0.05198962002794555	No data	No data	1	1	0	1	1	0	0.6649500000000004	0	-0.3163158991456554	-0.6596667487436209	0	-1	No data	0	0.75	0.5
SLC6A4	0.5331805370251298	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.874457791464516	No data	No data	No data	No data	No data	No data	0.051674117796987794	No data	No data	1	0	0	1	1	0	0.61905	1	-0.591373202750573	-0.9473682708582948	0	-1	No data	0	0.75	0.5
HSD11B1	0.5030392466541774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0	1	-0.3052719316524276	-0.8196493281115071	0	No data	No data	0	1	0
HSD11B2	0.5030392466541774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.1357999999999997	0	-0.11544071681600332	-0.884306395851755	0	No data	No data	0	0.75	0
SLC6A2	0.47917054770579043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.788199166070067	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7082650000000001	0	-0.527714107105647	-0.8541480885180219	0	-1	No data	-0.1693674999999999	0.5	0.5
PGA5	0.4623443982105619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	1	1	1	0	No data	No data	0.954990623046468	No data	No data	No data	No data	-0.9806699999999999	1	0
CHAT	0.42501683288740705	No data	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	No data	-0.03323609085226087	-0.7967528493907186	0	No data	No data	0	0.5	0.5
TAMM41	0.4157773365202895	No data	No data	0.6839221473130737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.0949550000000002	No data	0.18493436132527608	No data	0	No data	No data	No data	-1	-1
CA10	0.4123963939979579	0.6783607535892908	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	1	No data	-0.5476140862679725	No data	0	No data	No data	0	0.5	0.5
