symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
KCNJ11	0.8524047095217673	0.793837569995945	No data	0.9035210594999541	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	0.7133145042531812	No data	0.9985947627830777	No data	No data	No data	No data	No data	No data	0.31341323770579593	No data	0.3739382336109081	1	0	0	1	1	0	0.7948700000000002	1	0.3572619295686601	-0.8256793913435675	0	-1	No data	-0.24359000000000003	0.5	0
ABCC8	0.8511464017600802	0.5415103581753911	No data	0.9393437007637799	0.9066612367713315	No data	No data	No data	No data	No data	No data	No data	0.6189714963749121	No data	0.9985898812706624	No data	No data	No data	No data	No data	No data	0.31510989566014896	No data	0.7691330049255768	1	0	0	1	1	0	0.7722949999999997	1	-0.17920400083350696	-0.26361421568161597	0	-1	No data	-0.19196750000000015	0.75	0
GCK	0.8493403387425207	0.6548712620735989	0.9897041611247137	0.8912193990429088	0.865457038266544	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.6100545828182684	No data	No data	No data	No data	No data	No data	0.7800893764952239	No data	0.9244038808536866	0.75	0	0	1	1	1	0.7957000000000001	1	-0.5698062096270056	-0.9223646780730063	0	No data	No data	0	0.5	0
PPARG	0.8372197657805347	0.8049756817436108	No data	0.8216470774257352	0.9190679877429972	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.997441549929462	No data	No data	No data	No data	No data	No data	0.5170456227523286	No data	0.6846024556495344	1	0	0	0	0	0	0.9157899999999998	1	-0.34007084809335275	-0.9812391714898461	0	-1	-1	0	0.5	0
INSR	0.7765922292906872	0.672992499067393	No data	0.5927325276713306	No data	No data	0.3039653988058105	0.3799567485072632	No data	No data	No data	No data	0.19453785523571876	No data	0.9990418540793174	No data	No data	No data	No data	No data	No data	0.22571640362774928	No data	0.5563934642440959	1	1	0	1	1	1	0.7250349999999998	1	-0.5561575328193373	-0.9212576128016283	0	-1	No data	0	-1	-1
HNF1B	0.7718738123570038	0.5950001004386877	No data	0.8920341818824671	0.9391118789327693	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3522516840547939	No data	No data	No data	0	0	0	0	0	0.8204650000000001	No data	No data	-0.6815084843521868	0	No data	No data	0	0.5	0
HNF4A	0.7500191945984067	0.8860036797129267	No data	0.8468134241079949	0.7599134970145264	No data	No data	0.607930797611621	No data	No data	No data	No data	0.19757750922377684	No data	No data	No data	No data	No data	No data	No data	No data	0.33922422249688006	No data	0.7738904170954486	1	0	0	1	1	0	0.6570799999999999	No data	-0.4921858720566785	-0.8960259805165482	0	-1	No data	-0.20353999999999992	0.75	0.5
GLP1R	0.7464555096715924	0.815605635144139	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9973197797042993	No data	No data	No data	No data	No data	No data	0.7473288053485827	No data	0.7784925376682015	1	1	0	1	1	0	0.60043	No data	-0.5766826422171285	-0.2711127310234854	0	-1	No data	0	0.5	0.5
HNF1A	0.7397136202861079	0.7464985727695709	0.6225368663046495	0.8732457829070336	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	0.24610727383978453	No data	No data	No data	No data	No data	No data	No data	No data	0.8936067418454404	No data	No data	No data	0	0	0	0	0	0.7305849999999999	No data	-0.7157741196082517	-0.9476228189939553	0	No data	-1	0	0.75	0.5
WFS1	0.739264697867441	0.8447867269660043	No data	0.9046662542868237	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23531620116758104	No data	0.5078940961679688	No data	0	0	0	0	0	0.3426949999999998	No data	0.9581162742237965	-0.7344493622202841	0	No data	No data	No data	-1	0
