symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NR3C1	0.6170254104710609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9958212728448049	No data	No data	No data	No data	No data	No data	0.209462556317084	No data	0.28967902506193743	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
DPEP1	0.5884438418357214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9679454374536409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0	No data	0.4625963742446344	No data	0	No data	No data	0	0.75	0
MMP13	0.5328372897350914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	0.22039686719079307	No data	No data	1	0	1	1	1	1	0.3099800000000002	1	0.6305480308397582	-0.6009971285490958	0	-1	No data	0	1	1
MMP7	0.532119862076586	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	0.19679458675611394	No data	No data	1	0	1	1	1	0	0	No data	0.629506147113982	-0.8786019913576393	0	-1	No data	0	0.5	0
MMP8	0.5320164446356186	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	0.1933923100044288	No data	No data	1	0	1	1	1	0	0	0	0.799124817670348	-0.523271680179293	0	No data	No data	0	1	0.5
MMP1	0.5266923573539983	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	1	1	1	0	0	0	0.6307564075849135	No data	0	-1	No data	0	0.5	0
HMGCR	0.5137179485720796	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8431493553875175	No data	No data	No data	No data	No data	No data	0.037553236325797865	No data	No data	1	0	0	1	1	1	0.6677950000000002	1	-0.8118357991248177	0	-1	-1	No data	No data	0.5	-1
TET2	0.5116985586889596	No data	0.8384259941404958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06558560088233371	No data	No data	No data	0	0	1	1	0	0	No data	0.5245884559283185	-0.8804992683110604	0	No data	-1	0	0.5	0
SERPINC1	0.4539467226235595	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7436682351450158	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	0	1	0	1	1	0.375	No data	-0.9401958741404459	-0.9484461020230952	0	-1	No data	0	1	0.5
CRP	0.4355910925607159	0.670079950941928	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9286864107538687	No data	No data	No data	0	1	0	0	1	0	No data	0.9482183788289227	No data	0	No data	No data	0	1	0.5
CHAT	0.4255712026694341	No data	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	No data	No data	0	1	0	0	No data	-0.03323609085226087	-0.7967528493907186	0	No data	No data	0	0.5	0.5
VDR	0.3842193233730458	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6231290675519116	No data	No data	No data	No data	No data	No data	0.17765088863539596	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.038653886226297174	-0.9585967063703432	0	-1	No data	0	1	0
TLR7	0.38047729111991224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6165421166818713	No data	No data	No data	No data	No data	No data	0.18628272779042607	No data	No data	1	0	0	1	1	0	0.04194499999999977	0	-0.7500520941862888	-0.857167812864037	0	No data	No data	0	0.5	0
TLR9	0.3798967503574724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6165421166818713	No data	No data	No data	No data	No data	No data	0.16718381835136947	No data	No data	1	0	0	1	1	0	0	0	-0.21327359866638884	-0.49015973580271516	0	No data	No data	0	0.5	0.5
P2RY12	0.36291879377043446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5916855357421105	No data	No data	No data	No data	No data	No data	0.10576644921114181	No data	No data	1	1	0	1	1	0	0.3421050000000001	0	0.5436549281100229	-0.17669807060708642	0	-1	No data	0	1	0
IL33	0.35741429846220724	0.5694146904030651	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22607214992699357	No data	0.26961730874075396	0.75	0	1	0	0	0	0	No data	0.7926651385705354	-0.8848157382817753	0	No data	No data	No data	0.5	0
