symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
EFEMP1	0.5809122729558323	0.7753808695520098	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24280221043163305	No data	No data	No data	0	1	0	0	0	0.7261650000000003	No data	-0.9391539904146697	-0.8816744016980532	0	No data	No data	0	-1	0
SCN4A	0.5604612322515371	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9219161694939987	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.2715150000000001	0.75	0.5
ADRA2C	0.5053491207459568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8312609309008903	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5995649999999998	0	-0.3704938528860179	-0.05377051238253633	0	-1	No data	0	0.5	0
ADRA2B	0.5053491207459568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8312609309008903	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.15555499999999967	0	No data	-0.8410782060696528	0	-1	No data	0	-1	0
ADRA2A	0.5053491207459568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8312609309008903	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
OPRM1	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.575	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
WT1	0.448122699377591	0.7251369691905473	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23981687878116428	No data	No data	0.75	0	0	0	0	0	0.6264350000000001	No data	-0.8286101271098145	-0.9704906849800282	0	No data	No data	0	0.5	0
EBF2	0.4377235557398307	0.718046236392484	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	No data	0	0	0	0	0	0.9739150000000002	No data	-0.8951864971869139	-0.9388004931953661	0	No data	No data	-0.5652174999999999	0.5	0
CEMIP2	0.4253864127420917	No data	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.3383949999999999	No data	-0.3266305480308398	No data	0	No data	No data	0	0.5	-1
DLEU7	0.4033149364921632	0.6634224455754955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0.14027000000000028	No data	0.6832673473640343	No data	0	No data	No data	No data	1	1
