symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
WT1	0.3887715667714842	0.635199659504681	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08600094406940684	No data	No data	0.75	0	0	0	0	0	0.6264350000000001	No data	-0.8286101271098145	-0.9704906849800282	0	No data	No data	0	0.5	0
EFEMP1	0.3835254219064077	0.6308701967611524	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.7261650000000003	No data	-0.9391539904146697	-0.8816744016980532	0	No data	No data	0	-1	0
CDKAL1	0.328267474057487	0.5399750684570548	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5250450000000001	No data	-0.4717649510314649	-0.7858049550081581	0	No data	No data	0	-1	-1
TGFB2	0.32168347994558283	0.5245854171039801	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09118961964174316	No data	No data	1	0	1	0	0	0	0.7826099999999997	No data	-0.9422796415919983	-0.9823675311891877	0	No data	No data	0	-1	0
BARX1	0.29889477623048666	0.49165921089169223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7834650000000003	No data	-0.2820379245676182	-0.6438334588349994	0	No data	No data	0	1	0.5
ADAMTS16	0.2960499406996014	0.4869796724605718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.10130499999999998	No data	-0.5865805376120026	-0.1684471026633641	0	No data	No data	0	0.5	0
FOXP1	0.2468660973508734	0.40607598483369606	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.859675	No data	-0.9163367368201709	-0.9250388461562081	0	No data	No data	0	-1	-1
UQCC1	0.23881838319304724	0.3928381061319701	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.29765999999999976	No data	0.1606584705146905	No data	0	No data	No data	No data	-1	-1
CALD1	0.21135040860038573	0.34765537365555177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.8139195665763701	-0.5314228215972763	0	No data	No data	0	0.5	-1
SOX7	0.10607369485354452	0.1734192946335953	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	0	0	0.3685549999999999	No data	-0.35517816211710773	-0.2783801952949777	0	No data	No data	0	0.5	0
CBLN4	0.09923376437156697	No data	0.16323200726369985	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.8009950000000003	No data	0.1183579912481767	No data	0	No data	No data	-0.26616999999999996	0.5	0.5
AGBL3	0.08378774317277785	0.13782447525599117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.15638674723900814	No data	0	No data	No data	0	0.5	0
CRTC1	0.06929788591841615	0.11398976033237154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.5110399999999998	No data	-0.6049176911856637	-0.336304749899016	0	No data	-1	0	0.5	-1
PINX1	0.064535699214701	0.10615632481236767	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.348822671389873	No data	0	No data	No data	No data	0.5	0.5
