symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
AGTR1	0.7832488183290685	No data	No data	0.7827324273404195	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9847181915292432	No data	No data	No data	No data	No data	No data	0.13631161236932782	No data	0.6992429321960494	1	0	0	1	1	0	0.7214500000000001	No data	0.49499895811627415	-0.9648679303323667	0	-1	No data	0	0.5	0
AGT	0.6159056439565366	0.4392215018756946	No data	0.6109176952264436	0.7599134970145264	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3016612680606395	No data	0.474998707404705	0.5	0	1	0	0	0	0	No data	0.573244425922067	-0.9634161517414047	0	-1	No data	0	1	0
ADRB1	0.6095416050940179	0.36296639397527647	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9111350096967448	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.644613461137737	-0.5294145467853534	0	-1	No data	0	0.5	0
CACNA1C	0.5966078714654353	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9807667154768159	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9667394690102562	0	-1	No data	-0.2107099999999999	0.5	0
CACNA1F	0.5962382916107505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9807667154768159	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6108849999999997	No data	-0.5617837049385288	-0.8199485900453143	0	No data	No data	-0.1696349999999999	1	0.5
CACNA1S	0.5962382916107505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9807667154768159	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5488500000000002	No data	-0.46978537195249015	-0.8929941430254525	0	-1	No data	-0.13107250000000015	0.75	0.5
CACNA1D	0.5962382916107505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9807667154768159	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.8195300000000003	No data	-0.8719524901021046	-0.9509097168963865	0	No data	-1	-0.19250250000000016	-1	0
SLC12A3	0.5889991172325839	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.967946927121279	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	0	0	0	0.4857999999999997	No data	0.34663471556574277	-0.6965924466705034	0	No data	No data	0	1	1
ACE	0.5856825314766616	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.952504481555595	No data	No data	No data	No data	No data	No data	0.217976200645061	No data	No data	1	0	1	1	1	1	0.16539	No data	0.21014794748906018	-0.9741743606474174	0	-1	No data	0	0.5	0
REN	0.5355085583635975	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8713216405244559	No data	No data	No data	No data	No data	No data	0.19098550315615115	No data	No data	1	0	1	1	1	1	0	1	0.062096270056261726	-0.9544788416529667	0	-1	No data	0	1	0.5
NR3C2	0.5076114497795235	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8321927323627394	No data	No data	No data	No data	No data	No data	0.05579116025414649	No data	No data	1	0	0	1	1	0	0.52744	1	-0.6892060846009586	-0.8476719302872545	0	-1	No data	0	-1	-1
PTGIS	0.4601269190824537	No data	No data	0.5957721816593886	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	1	0	No data	0.23286101271098136	-0.9340849492684183	0	No data	No data	0	0.5	0
HMGCR	0.4431775763023303	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7289934611693353	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.6677950000000002	1	-0.8118357991248177	0	-1	-1	No data	No data	0.5	-1
PKD1	0.3912383697121353	No data	0.6435574102335238	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	No data	-0.911648260054178	-0.9849880986158849	0	No data	No data	0	0.5	-1
SCNN1A	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.12556000000000012	No data	0.0003125651177329214	-0.6781325815419675	0	No data	No data	0	0.5	0
UMOD	0.3326218692162316	No data	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	No data	0.4043550739737445	-0.8427611355222344	0	No data	No data	0	1	0.5
TMEM131L	0.33106330955229574	0.544574005549554	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.7542196290893937	-0.2123185238501421	0	No data	No data	0	0.5	0
PLEKHG1	0.3256010570339117	0.5355890149225886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.6124192540112523	No data	0	No data	No data	0	0.5	-1
ARHGAP42	0.3197429492086231	0.5259528723742865	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6224249999999998	No data	-0.9377995415711606	-0.7886572631823568	No data	No data	No data	0	0.5	-1
FOXC1	0.31954425055151237	0.5256260281711447	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5027149999999999	No data	-0.7400500104188372	-0.9786391230219373	0	No data	No data	0	1	0
DBH	0.31749459615905096	0.4831180190711019	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05133637846498133	No data	No data	0.5	0	0	1	1	0	0	No data	0.12085851219003962	-0.8969987469653173	0	-1	No data	0	1	0.5
GNG7	0.31293031682554473	0.5147466094084305	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.7058799999999998	No data	0.5292769326943114	-0.05377051238253633	0	No data	No data	-0.4485299999999999	1	-1
NPNT	0.31198870107186444	0.5131977229934312	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.35397999999999996	No data	0.02969368618462176	-0.5512941723678829	0	No data	No data	0	0.5	0
CABCOCO1	0.30462224574661084	0.5010804633411909	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.26338820587622425	-0.6738188892163574	0	No data	No data	No data	0.5	0
FGF9	0.2987560533972469	0.49143102236466785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.9759599999999999	No data	-0.7236924359241509	-0.966631265164061	0	No data	No data	-0.2668275000000001	0.5	0
ASXL1	0.298576772600691	No data	0.4911361190676803	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.14482183788289227	-0.9242078669203868	0	No data	-1	0	-1	-1
PCDH18	0.29709934276472766	0.4887058591733507	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6299550000000004	No data	-0.5520941862888102	-0.7139728595433622	0	No data	No data	0	-1	0
NPR3	0.29690414666709375	0.48838477641458805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	0	1	1	0.5378950000000003	No data	-0.11502396332569287	-0.9236341152986179	0	No data	No data	0	0.5	0
FGD5	0.2926184457314461	0.4813351238020129	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.9299854136278392	-0.9171705669573534	0	No data	No data	0	-1	0
CASZ1	0.291002444092091	0.47867692381329063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.9399874973952906	-0.9380106806616769	0	No data	No data	No data	0.5	0
PURG	0.2900786935946098	0.4771574243881747	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8559100000000001	No data	-0.7633882058762242	No data	0	No data	No data	0	0.5	0.5
ZNF652	0.29000747488524853	0.4770402750191329	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5049500000000002	No data	-0.6140862679724943	0	0	No data	No data	0	-1	0
TBX2	0.287432410780857	0.4728044901000135	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.754215	No data	-0.8310064596790998	-0.9190289075775598	0	No data	No data	0	0.5	0
MEF2C	0.2841579582435822	0.4674182643155342	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.672305	No data	-0.3662221296103355	-0.9435915912825629	0	No data	No data	-0.05919749999999997	0.5	-1
WNT2B	0.28258420760470804	0.46482956401435355	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.7186700000000001	No data	-0.3640341737862055	-0.16085169687004186	0	No data	No data	-0.06649499999999993	-1	0
ADRB2	0.2797790336102007	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.0853433518047114	No data	No data	1	0	0	1	1	1	0.4067799999999998	1	-0.3875807459887477	-0.9089583874335985	0	-1	No data	0	-1	0
MOCS2	0.2792165737681452	0.4592900620680905	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.12233999999999981	No data	0.5284434257136903	-0.8212276705264487	0	No data	No data	0	-1	-1
ADRA1A	0.27909146108888105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	0.6706540576552	1	0	0	1	1	0	0.5922750000000001	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
ANO7	0.2753632957414867	0.4529517123055898	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.5167743279849968	No data	0	No data	No data	0	0.5	0.5
RXFP2	0.2749441561240981	0.4522622594615568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	1	0	0	1	0	0.025200000000000243	No data	0.11856636799333198	-0.8438298067159827	0	No data	No data	0	No data	No data
