symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ATP4A	0.5842864165475284	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9611067885407609	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.8502400000000001	No data	-0.2001458637216087	-0.29239804983791945	0	No data	No data	-0.10145000000000018	1	0.5
DRD2	0.5602312439162539	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.920929925348574	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
ACHE	0.5488478853925084	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9020531822513307	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	1	0	0	1	1	1	0.4218249999999998	0	-0.8797666180454261	-0.9157987311272503	0	-1	No data	0	0.75	0
HRH2	0.5041428531646942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	0.03630697819069404	No data	No data	1	1	0	1	1	0	0.13507000000000033	1	-0.1242967284851011	-0.25816023832992224	0	-1	No data	0	0.5	0
HTR4	0.4004797989886141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6567830845707039	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	1	1	0	1	1	0	0.6649500000000004	0	-0.3163158991456554	-0.6596667487436209	0	-1	No data	0	0.75	0.5
HTR1A	0.3788193510518193	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6231290675519116	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.40758500000000025	1	-0.2592206709731194	-0.2932470330880932	0	-1	No data	0	0.75	0.5
HTR3A	0.37184034880145245	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6082516499770272	No data	No data	No data	No data	No data	No data	0.06794977620637892	No data	No data	1	1	0	1	1	0	0.25732	0	0.2829756199208169	-0.7206398364048522	0	-1	No data	0	0.75	0.5
ADRA2A	0.37050380432141355	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
HTR3B	0.3697749107191187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6082516499770272	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	0.06022087934986464	0	0	-1	No data	0	0.5	1
HTR3C	0.3697749107191187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6082516499770272	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	0.487080641800375	No data	0	No data	No data	-0.35123	1	1
HTR3D	0.3697749107191187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6082516499770272	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	0.4117524484267556	No data	0	No data	No data	-0.02227750000000004	No data	No data
HTR3E	0.3697749107191187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6082516499770272	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	No data	No data	0.7031673265263596	No data	0	No data	No data	-0.31469249999999993	No data	No data
