symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MT-CO1	0.6305340304133251	No data	No data	0.6839221473130737	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	1	0	0.54191	No data	No data	-0.8948165227487642	No data	No data	No data	No data	0.5	-1
TOP2A	0.3682965913003799	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6058199267865807	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4643999999999998	No data	-0.7740154198791415	-0.8408730869635028	-1	-1	No data	-0.25538750000000016	0.5	0
POLD4	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.1588799999999999	No data	0.19899979162325487	-0.05905544609812324	0	No data	No data	No data	0.5	-1
POLD3	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.8430923108981038	-0.18137999769864382	-1	No data	No data	No data	-1	-1
POLE3	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6258499999999998	No data	0.434986455511565	-0.7279090292495205	0	No data	No data	No data	-1	-1
PRIM1	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.4523800000000001	No data	-0.2703688268389248	-0.5294145467853534	-1	No data	No data	No data	0.5	-1
POLA2	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.13879499999999964	No data	-0.31735778287143157	No data	-1	No data	No data	No data	-1	0
POLE	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.5231850000000001	No data	-0.3334027922483851	-0.7053397434311622	-1	No data	-1	No data	-1	0
POLD1	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0.43541000000000024	No data	-0.46103354865597	-0.861607767966775	-1	No data	-1	0	-1	0
POLA1	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.4005450000000003	No data	-0.9982287976661804	0	-1	No data	No data	0	-1	0
