symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ANKH	0.7806752886833759	No data	No data	0.8614076721607528	0.8897742701710087	0.607930797611621	0.607930797611621	0.865457038266544	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33966363108832914	0.06353701835573299	0.46130406813431396	No data	0	0	0	0	0	0.9186999999999997	No data	-0.5005209418628881	-0.8048790889795373	0	No data	No data	No data	-1	-1
SLC22A12	0.7371961662302284	0.49454474473849713	0.9079312430988571	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9207114710903441	No data	No data	No data	No data	No data	No data	0.7990414328085045	No data	No data	1	1	0	1	1	0	0	No data	0.45103146488851853	-0.24362204909388396	0	-1	No data	0	1	1
MIF	0.7211608983704542	No data	No data	No data	0.3039653988058105	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	0.9338206293980015	No data	No data	No data	No data	No data	No data	0.9436011506332811	No data	No data	0.75	0	1	1	1	1	0.47826000000000024	1	0.7452594290477184	-0.7904990920766793	0	No data	No data	0	-1	-1
TNF	0.71874550022791	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9981853597961401	No data	No data	No data	No data	No data	No data	0.9942212066290463	0.017449329563606883	0.790425029791549	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9816011053449519	0	-1	No data	0	0.5	0
IL6R	0.7087647576470121	0.6436284118051255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9932550330797356	No data	No data	No data	No data	No data	No data	0.5179313233636895	0.015398930257256301	No data	1	1	1	0	0	0	0	No data	-0.1219003959158158	-0.8522026904615398	0	-1	No data	0	0.5	-1
IL17A	0.7022304999891994	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9811364307245581	No data	No data	No data	No data	No data	No data	0.9898523916640511	No data	No data	1	0	1	1	1	0	0	No data	0.2833923734111272	-0.8363396721742761	0	No data	No data	0	0.5	1
ABCG2	0.6961201303109065	0.9173992755945378	0.8200140732273964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9412084977754142	0.1396974003483697	No data	No data	1	0	1	1	0	0	0	0.648989372785997	-0.9032325519204859	0	-1	No data	0	0.5	0
TYK2	0.681870264482151	0.4533080275921695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9869995620933374	No data	No data	No data	No data	No data	No data	0.797835859901999	No data	0.2854843025584173	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.881611641021825	0	No data	No data	0	-1	0
JAK2	0.6779243320484605	0.43484584792951014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9898384604479573	No data	No data	No data	No data	No data	No data	0.44317637922399	No data	0.4969989968307057	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
TRAF3IP2	0.6658040467442283	0.5880198095007522	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9338206293980015	No data	No data	No data	No data	No data	No data	0.4187112807825967	0.027657674788028476	0.3876449622262251	0.75	0	0	0	0	0	0	No data	0.08616378412169201	-0.8093433439281369	0	-1	No data	No data	-1	-1
PTGS2	0.6488295958419666	0.19130749236574232	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.999741592835801	No data	No data	No data	No data	No data	No data	0.8473938791706581	0.07007811971140043	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747706328107875	0	-1	No data	-0.02317999999999998	0.5	0
TLR7	0.6363061503357671	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9924348159133395	No data	No data	No data	No data	No data	No data	0.8703388646860049	0.05753149360333946	0.4501979003246733	1	0	0	1	1	0	0.04194499999999977	0	-0.7500520941862888	-0.857167812864037	0	No data	No data	0	0.5	0
PADI4	0.6326508367766817	0.7707356105732018	No data	0.8007968431539079	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9761067822686254	0.15082169763292783	No data	No data	0	0	1	1	1	0	1	0.2766201291935819	-0.9012401148756077	0	No data	No data	0	0.75	0.5
TLR9	0.629941908104448	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9924348159133395	No data	No data	No data	No data	No data	No data	0.8754357895093534	No data	No data	1	0	0	1	1	0	0	0	-0.21327359866638884	-0.49015973580271516	0	No data	No data	0	0.5	0.5
IL12B	0.6279091739975403	0.7205568235303345	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8375354293501088	No data	No data	No data	No data	No data	No data	0.6834724605925968	No data	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
CD80	0.6201053712179938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9853755223106672	No data	No data	No data	No data	No data	No data	0.6056713813558848	0.19652209878983742	No data	1	0	0	0	0	0	0	No data	-0.010523025630339689	0	0	No data	No data	0	0.5	0.5
NR3C1	0.6200247498063617	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9986646515575656	No data	No data	No data	No data	No data	No data	0.42457962942959854	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
CD86	0.6198788135375732	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9853755223106672	No data	No data	No data	No data	No data	No data	0.566532798066717	0.26781375304256416	No data	1	1	0	0	0	0	0	No data	-0.6971244009168577	-0.3219699845368945	0	No data	No data	0	0.5	0
JAK3	0.618076491312005	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9867158911044017	No data	No data	No data	No data	No data	No data	0.3384613306119881	No data	0.4490328347249838	1	1	0	1	1	1	0.1014249999999997	1	-0.4636382579704105	-0.8827816337935773	0	No data	-1	0	0.5	0
