symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NOD2	0.817561520247641	0.6049246915358241	No data	0.724580637298249	0.8464592008411808	No data	0.607930797611621	0.9846162480077126	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8256443136945618	0.024253303999953763	0.3016552617748864	1	0	0	1	1	0	0	No data	0.510418837257762	-0.81598734335551	0	No data	No data	0	0.5	0
JAK2	0.6706557113709248	0.6707839128739358	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.8949149108747851	No data	No data	No data	No data	No data	No data	0.514812839661738	0.044717180888602215	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
TNF	0.6361862697764272	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9871661232748297	No data	No data	No data	No data	No data	No data	0.9770824973782065	0.024694282812137466	0.45671307779571046	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9816011053449519	0	-1	No data	0	0.5	0
PPARG	0.6330250007148084	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9948208014839592	No data	No data	No data	No data	No data	No data	0.862821094185757	0.14922910938682024	No data	1	0	0	0	0	0	0.9157899999999998	1	-0.34007084809335275	-0.9812391714898461	0	-1	-1	0	0.5	0
PTGS2	0.6268728621663728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9950117590588478	No data	No data	No data	No data	No data	No data	0.5070377750039111	0.21583880380939804	0.3643481252785848	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747706328107875	0	-1	No data	-0.02317999999999998	0.5	0
JAK3	0.6198775874744761	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.8952631203407335	No data	No data	No data	No data	No data	No data	0.21173113355193163	0.10574779121881082	0.310895809898583	1	1	0	1	1	1	0.1014249999999997	1	-0.4636382579704105	-0.8827816337935773	0	No data	-1	0	0.5	0
NR3C1	0.6188292686054317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9961629905300554	No data	No data	No data	No data	No data	No data	0.4299498625779176	0.012000310702214741	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
PTGS1	0.6152081672572103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9950117590588478	No data	No data	No data	No data	No data	No data	0.33533781729078277	0.008643174766086505	No data	1	0	0	0	0	0	0.48247	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.035892499999999924	0.5	0
ALOX5	0.6146182060349394	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9948592260642426	No data	No data	No data	No data	No data	No data	0.29259762622594504	0.06800272583195965	No data	1	0	0	1	1	0	0.6513350000000002	0	-0.33892477599499893	-0.2749532244040448	0	No data	No data	0	0.5	0
TYK2	0.6043297080915326	0.34658147072018997	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8965678655632492	No data	No data	No data	No data	No data	No data	0.4888461572124674	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.881611641021825	0	No data	No data	0	-1	0
