symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GUCY1B1	0.6315592617663974	0.19631213569604103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897889954280238	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.93538	No data	-0.2924567618253803	-0.874226950777312	0	No data	No data	0	-1	-1
HMGCR	0.6075108519099001	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9958589606275037	No data	No data	No data	No data	No data	No data	0.0690052116188991	No data	No data	1	0	0	1	1	1	0.6677950000000002	1	-0.8118357991248177	0	-1	-1	No data	No data	0.5	-1
ADRB1	0.6050867741723048	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9920002999372285	No data	No data	No data	No data	No data	No data	0.06642994921234986	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.644613461137737	-0.5294145467853534	0	-1	No data	0	0.5	0
CACNA1C	0.6041374057671379	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9931522276622227	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9667394690102562	0	-1	No data	-0.2107099999999999	0.5	0
CACNA1S	0.6037678259124533	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9931522276622227	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5488500000000002	No data	-0.46978537195249015	-0.8929941430254525	0	-1	No data	-0.13107250000000015	0.75	0.5
CACNA1D	0.6037678259124533	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9931522276622227	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.8195300000000003	No data	-0.8719524901021046	-0.9509097168963865	0	No data	-1	-0.19250250000000016	-1	0
CACNA1F	0.6037678259124533	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9931522276622227	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6108849999999997	No data	-0.5617837049385288	-0.8199485900453143	0	No data	No data	-0.1696349999999999	1	0.5
GUCY1B2	0.6017232134577637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897889954280238	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC12A3	0.5783838386125503	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9513974960387728	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.4857999999999997	No data	0.34663471556574277	-0.6965924466705034	0	No data	No data	0	1	1
SCN5A	0.5756329898128815	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9468725586437995	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.9769187502023968	0	-1	No data	-0.09056999999999996	1	0.5
