symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ABCB4	0.7598575548824688	0.7645161256359478	0.9331177901345026	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0.21690443288754385	No data	0.25320317720524016	No data	1	0	0	1	0	0.5465200000000003	No data	-0.4880183371535737	-0.9769322402092045	0	-1	No data	-0.40187750000000017	1	0.5
ABCG5	0.65698162466169	0.5707051632911713	0.8640596542171751	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0.09846779885689085	No data	No data	No data	1	0	0	0	0	0.009214999999999663	No data	0.527714107105647	-0.9213210333896262	0	No data	No data	0	0.75	0.5
ABCG8	0.6320934476367077	0.6717099369383742	0.1531532351023795	0.7596428988223995	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0.09102074997573993	No data	No data	No data	0	0	0	0	0	0.07875000000000014	No data	0.5119816628464264	-0.904904777266915	0	No data	No data	0	0.75	0.5
HNF4A	0.5194367931592044	0.8544340823000196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6570799999999999	No data	-0.4921858720566785	-0.8960259805165482	0	-1	No data	-0.20353999999999992	0.75	0.5
TTC39B	0.4768709447632298	0.7835045976491216	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.4155850000000001	No data	0.07824546780579289	0	0	No data	No data	0	-1	-1
TM4SF4	0.4720316673408885	0.7764562499471326	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.38119000000000014	No data	0.6960825171910814	0	0	No data	No data	0	0.75	0.5
SLC10A2	0.4683398344465596	0.7652920447382869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10182840859994653	No data	No data	1	0	0	1	1	0	0.022990000000000066	No data	0.9748906022087935	-0.8087057342508172	0	-1	No data	0	1	0.5
SERPINA1	0.46533976411266126	0.7654485772736676	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	1	0	No data	0.7015003125651178	-0.4025761376112691	0	No data	No data	0	1	-1
HTR3A	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.25732	0	0.2829756199208169	-0.7206398364048522	0	-1	No data	0	0.75	0.5
OPRM1	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.575	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
